x[km] y[km] z[km] vx[km] vy[km] vz[km]
-49603824.669 96187745.550  0.000 -31.101 -16.061  0.000 
-52271559.102 94762548.587  0.000 -30.640 -16.924  0.000 
-54898404.035 93263346.328  0.000 -30.155 -17.773  0.000 
-57482307.890 91691310.878  0.000 -29.646 -18.609  0.000 
-60021252.667 90047671.171  0.000 -29.114 -19.431  0.000 
-62513255.517 88333712.012  0.000 -28.560 -20.237  0.000 
-64956370.288 86550773.069  0.000 -27.983 -21.027  0.000 
-67348689.039 84700247.828  0.000 -27.384 -21.801  0.000 
-69688343.529 82783582.504  0.000 -26.764 -22.558  0.000 
-71973506.668 80802274.907  0.000 -26.123 -23.297  0.000 
-74202393.944 78757873.274  0.000 -25.462 -24.018  0.000 
-76373264.812 76651975.061  0.000 -24.780 -24.720  0.000 
-78484424.045 74486225.693  0.000 -24.080 -25.403  0.000 
-80534223.061 72262317.280  0.000 -23.360 -26.066  0.000 
-82521061.200 69981987.295  0.000 -22.622 -26.709  0.000 
-84443386.975 67647017.220  0.000 -21.867 -27.331  0.000 
-86299699.278 65259231.152  0.000 -21.095 -27.931  0.000 
-88088548.547 62820494.385  0.000 -20.306 -28.510  0.000 
-89808537.899 60332711.947  0.000 -19.501 -29.066  0.000 
-91458324.211 57797827.121  0.000 -18.681 -29.600  0.000 
-93036619.172 55217819.923  0.000 -17.846 -30.111  0.000 
-94542190.281 52594705.564  0.000 -16.998 -30.598  0.000 
-95973861.810 49930532.871  0.000 -16.136 -31.061  0.000 
-97330515.716 47227382.696  0.000 -15.262 -31.500  0.000 
-98611092.514 44487366.288  0.000 -14.375 -31.914  0.000 
-99814592.100 41712623.652  0.000 -13.478 -32.303  0.000 
-100940074.531 38905321.873  0.000 -12.570 -32.668  0.000 
-101986660.756 36067653.436  0.000 -11.652 -33.006  0.000 
-102953533.299 33201834.509  0.000 -10.725 -33.319  0.000 
-103839936.900 30310103.218  0.000 -9.790 -33.606  0.000 
-104645179.096 27394717.904  0.000 -8.847 -33.867  0.000 
-105368630.769 24457955.362  0.000 -7.897 -34.101  0.000 
-106009726.628 21502109.061  0.000 -6.941 -34.308  0.000 
-106567965.654 18529487.367  0.000 -5.979 -34.489  0.000 
-107042911.491 15542411.734  0.000 -5.013 -34.643  0.000 
-107434192.783 12543214.898  0.000 -4.043 -34.770  0.000 
-107741503.465 9534239.061  0.000 -3.070 -34.869  0.000 
-107964603.003 6517834.063  0.000 -2.094 -34.941  0.000 
-108103316.581 3496355.551  0.000 -1.117 -34.987  0.000 
-108157535.238 472163.141  0.000 -0.138 -35.004  0.000 
-108127215.954 -2552381.415  0.000  0.840 -34.995  0.000 
-108012381.683 -5574916.078  0.000  1.818 -34.958  0.000 
-107813121.338 -8593080.358  0.000  2.794 -34.894  0.000 
-107529589.721 -11604517.154  0.000  3.768 -34.802  0.000 
-107162007.407 -14606874.594  0.000  4.739 -34.683  0.000 
-106710660.566 -17597807.869  0.000  5.707 -34.538  0.000 
-106175900.752 -20574981.055  0.000  6.670 -34.365  0.000 
-105558144.620 -23536068.942  0.000  7.627 -34.165  0.000 
-104857873.609 -26478758.843  0.000  8.579 -33.939  0.000 
