x[km] y[km] z[km] vx[km] vy[km] vz[km]
1007.207 3461.176  0.000 -0.000  0.000  0.000 
1001.039 3478.124  0.000 -0.000  0.000  0.000 
994.922 3494.918  0.000 -0.000  0.000  0.000 
988.861 3511.563  0.000 -0.000  0.000  0.000 
982.858 3528.060  0.000 -0.000  0.000  0.000 
976.917 3544.414  0.000 -0.000  0.000  0.000 
971.042 3560.627  0.000 -0.000  0.000  0.000 
965.236 3576.703  0.000 -0.000  0.000  0.000 
959.503 3592.644  0.000 -0.000  0.000  0.000 
953.845 3608.455  0.000 -0.000  0.000  0.000 
948.266 3624.138  0.000 -0.000  0.000  0.000 
942.768 3639.697  0.000 -0.000  0.000  0.000 
937.354 3655.136  0.000 -0.000  0.000  0.000 
932.027 3670.458  0.000 -0.000  0.000  0.000 
926.789 3685.668  0.000 -0.000  0.000  0.000 
921.644 3700.768  0.000 -0.000  0.000  0.000 
916.592 3715.762  0.000 -0.000  0.000  0.000 
911.636 3730.655  0.000 -0.000  0.000  0.000 
906.779 3745.451  0.000 -0.000  0.000  0.000 
902.022 3760.153  0.000 -0.000  0.000  0.000 
897.367 3774.765  0.000 -0.000  0.000  0.000 
892.815 3789.291  0.000 -0.000  0.000  0.000 
888.368 3803.736  0.000 -0.000  0.000  0.000 
884.028 3818.104  0.000 -0.000  0.000  0.000 
879.795 3832.397  0.000 -0.000  0.000  0.000 
875.671 3846.622  0.000 -0.000  0.000  0.000 
871.657 3860.781  0.000 -0.000  0.000  0.000 
867.753 3874.879  0.000 -0.000  0.000  0.000 
863.960 3888.921  0.000 -0.000  0.000  0.000 
860.279 3902.909  0.000 -0.000  0.000  0.000 
856.711 3916.849  0.000 -0.000  0.000  0.000 
853.254 3930.744  0.000 -0.000  0.000  0.000 
849.911 3944.599  0.000 -0.000  0.000  0.000 
846.680 3958.417  0.000 -0.000  0.000  0.000 
843.562 3972.203  0.000 -0.000  0.000  0.000 
840.557 3985.961  0.000 -0.000  0.000  0.000 
837.663 3999.694  0.000 -0.000  0.000  0.000 
834.881 4013.407  0.000 -0.000  0.000  0.000 
832.210 4027.104  0.000 -0.000  0.000  0.000 
829.649 4040.789  0.000 -0.000  0.000  0.000 
827.198 4054.465  0.000 -0.000  0.000  0.000 
824.855 4068.137  0.000 -0.000  0.000  0.000 
822.620 4081.808  0.000 -0.000  0.000  0.000 
820.491 4095.481  0.000 -0.000  0.000  0.000 
818.467 4109.161  0.000 -0.000  0.000  0.000 
816.546 4122.852  0.000 -0.000  0.000  0.000 
814.727 4136.556  0.000 -0.000  0.000  0.000 
813.008 4150.277  0.000 -0.000  0.000  0.000 
811.388 4164.019  0.000 -0.000  0.000  0.000 
809.864 4177.785  0.000 -0.000  0.000  0.000 
808.435 4191.578  0.000 -0.000  0.000  0.000 
807.099 4205.402  0.000 -0.000  0.000  0.000 
805.853 4219.259  0.000 -0.000  0.000  0.000 
804.695 4233.153  0.000 -0.000  0.000  0.000 
803.623 4247.086  0.000 -0.000  0.000  0.000 
802.635 4261.061  0.000 -0.000  0.000  0.000 
801.727 4275.082  0.000 -0.000  0.000  0.000 
800.897 4289.151  0.000 -0.000  0.000  0.000 
800.144 4303.269  0.000 -0.000  0.000  0.000 
799.462 4317.441  0.000 -0.000  0.000  0.000 
798.851 4331.667  0.000 -0.000  0.000  0.000 
798.307 4345.951  0.000 -0.000  0.000  0.000 
797.827 4360.295  0.000 -0.000  0.000  0.000 
797.408 4374.700  0.000 -0.000  0.000  0.000 
797.048 4389.169  0.000 -0.000  0.000  0.000 
796.741 4403.703  0.000 -0.000  0.000  0.000 
796.487 4418.304  0.000 -0.000  0.000  0.000 
796.281 4432.974  0.000 -0.000  0.000  0.000 
796.120 4447.714  0.000 -0.000  0.000  0.000 
796.000 4462.525  0.000 -0.000  0.000  0.000 
795.920 4477.409  0.000 -0.000  0.000  0.000 
795.874 4492.367  0.000 -0.000  0.000  0.000 
795.859 4507.400  0.000 -0.000  0.000  0.000 
795.873 4522.509  0.000  0.000  0.000  0.000 
795.911 4537.694  0.000  0.000  0.000  0.000 
795.970 4552.956  0.000  0.000  0.000  0.000 
796.046 4568.296  0.000  0.000  0.000  0.000 
796.137 4583.714  0.000  0.000  0.000  0.000 
796.238 4599.211  0.000  0.000  0.000  0.000 
796.346 4614.786  0.000  0.000  0.000  0.000 
796.457 4630.439  0.000  0.000  0.000  0.000 
796.568 4646.171  0.000  0.000  0.000  0.000 
796.675 4661.982  0.000  0.000  0.000  0.000 
796.775 4677.870  0.000  0.000  0.000  0.000 
796.865 4693.835  0.000  0.000  0.000  0.000 
796.940 4709.878  0.000  0.000  0.000  0.000 
796.997 4725.997  0.000  0.000  0.000  0.000 
797.033 4742.191  0.000  0.000  0.000  0.000 
797.044 4758.459  0.000 -0.000  0.000  0.000 
797.028 4774.801  0.000 -0.000  0.000  0.000 
796.980 4791.215  0.000 -0.000  0.000  0.000 
796.897 4807.699  0.000 -0.000  0.000  0.000 
796.777 4824.254  0.000 -0.000  0.000  0.000 
796.616 4840.876  0.000 -0.000  0.000  0.000 
796.410 4857.564  0.000 -0.000  0.000  0.000 
796.157 4874.317  0.000 -0.000  0.000  0.000 
795.854 4891.133  0.000 -0.000  0.000  0.000 
795.497 4908.010  0.000 -0.000  0.000  0.000 
795.085 4924.946  0.000 -0.000  0.000  0.000 
794.613 4941.938  0.000 -0.000  0.000  0.000 
794.079 4958.984  0.000 -0.000  0.000  0.000 
793.481 4976.082  0.000 -0.000  0.000  0.000 
792.816 4993.230  0.000 -0.000  0.000  0.000 
792.081 5010.425  0.000 -0.000  0.000  0.000 
791.274 5027.664  0.000 -0.000  0.000  0.000 
790.392 5044.945  0.000 -0.000  0.000  0.000 
789.434 5062.265  0.000 -0.000  0.000  0.000 
788.397 5079.620  0.000 -0.000  0.000  0.000 
787.278 5097.009  0.000 -0.000  0.000  0.000 
786.077 5114.427  0.000 -0.000  0.000  0.000 
784.791 5131.873  0.000 -0.000  0.000  0.000 
783.418 5149.342  0.000 -0.000  0.000  0.000 
781.957 5166.831  0.000 -0.000  0.000  0.000 
780.406 5184.338  0.000 -0.000  0.000  0.000 
778.764 5201.858  0.000 -0.000  0.000  0.000 
777.029 5219.389  0.000 -0.000  0.000  0.000 
775.200 5236.926  0.000 -0.000  0.000  0.000 
773.275 5254.467  0.000 -0.000  0.000  0.000 
771.255 5272.007  0.000 -0.000  0.000  0.000 
769.138 5289.543  0.000 -0.000  0.000  0.000 
766.923 5307.072  0.000 -0.000  0.000  0.000 
764.609 5324.589  0.000 -0.000  0.000  0.000 
762.196 5342.091  0.000 -0.000  0.000  0.000 
759.685 5359.575  0.000 -0.000  0.000  0.000 
757.073 5377.036  0.000 -0.000  0.000  0.000 
754.362 5394.470  0.000 -0.000  0.000  0.000 
751.550 5411.874  0.000 -0.000  0.000  0.000 
748.639 5429.244  0.000 -0.000  0.000  0.000 
745.629 5446.576  0.000 -0.000  0.000  0.000 
742.519 5463.867  0.000 -0.000  0.000  0.000 
739.310 5481.111  0.000 -0.000  0.000  0.000 
736.003 5498.307  0.000 -0.000  0.000  0.000 
732.599 5515.448  0.000 -0.000  0.000  0.000 
729.099 5532.533  0.000 -0.000  0.000  0.000 
725.502 5549.557  0.000 -0.000  0.000  0.000 
721.811 5566.515  0.000 -0.000  0.000  0.000 
718.027 5583.406  0.000 -0.000  0.000  0.000 
714.151 5600.223  0.000 -0.000  0.000  0.000 
710.185 5616.965  0.000 -0.000  0.000  0.000 
706.130 5633.627  0.000 -0.000  0.000  0.000 
701.987 5650.205  0.000 -0.000  0.000  0.000 
697.760 5666.697  0.000 -0.000  0.000  0.000 
693.449 5683.097  0.000 -0.000  0.000  0.000 
689.057 5699.404  0.000 -0.000  0.000  0.000 
684.587 5715.613  0.000 -0.000  0.000  0.000 
680.039 5731.720  0.000 -0.000  0.000  0.000 
675.418 5747.724  0.000 -0.000  0.000  0.000 
670.725 5763.619  0.000 -0.000  0.000  0.000 
665.963 5779.404  0.000 -0.000  0.000  0.000 
661.135 5795.074  0.000 -0.000  0.000  0.000 
656.244 5810.628  0.000 -0.000  0.000  0.000 
651.293 5826.061  0.000 -0.000  0.000  0.000 
646.285 5841.371  0.000 -0.000  0.000  0.000 
641.223 5856.555  0.000 -0.000  0.000  0.000 
636.111 5871.610  0.000 -0.000  0.000  0.000 
630.951 5886.534  0.000 -0.000  0.000  0.000 
625.749 5901.323  0.000 -0.000  0.000  0.000 
620.506 5915.977  0.000 -0.000  0.000  0.000 
615.227 5930.491  0.000 -0.000  0.000  0.000 
609.916 5944.865  0.000 -0.000  0.000  0.000 
604.576 5959.095  0.000 -0.000  0.000  0.000 
599.212 5973.180  0.000 -0.000  0.000  0.000 
